id,wmi_class,wmi_scope
1,"__AbsoluteTimerInstruction
",\ROOT\Appv
2,"__ACE
",\ROOT\Appv
3,"__AggregateEvent
",\ROOT\Appv
4,"__ClassCreationEvent
",\ROOT\Appv
5,"__ClassDeletionEvent
",\ROOT\Appv
6,"__ClassModificationEvent
",\ROOT\Appv
7,"__ClassOperationEvent
",\ROOT\Appv
8,"__ClassProviderRegistration
",\ROOT\Appv
9,"__ConsumerFailureEvent
",\ROOT\Appv
10,"__Event
",\ROOT\Appv
11,"__EventConsumer
",\ROOT\Appv
12,"__EventConsumerProviderRegistration
",\ROOT\Appv
13,"__EventDroppedEvent
",\ROOT\Appv
14,"__EventFilter
",\ROOT\Appv
15,"__EventGenerator
",\ROOT\Appv
16,"__EventProviderRegistration
",\ROOT\Appv
17,"__EventQueueOverflowEvent
",\ROOT\Appv
18,"__ExtendedStatus
",\ROOT\Appv
19,"__ExtrinsicEvent
",\ROOT\Appv
20,"__FilterToConsumerBinding
",\ROOT\Appv
21,"__IndicationRelated
",\ROOT\Appv
22,"__InstanceCreationEvent
",\ROOT\Appv
23,"__InstanceDeletionEvent
",\ROOT\Appv
24,"__InstanceModificationEvent
",\ROOT\Appv
25,"__InstanceOperationEvent
",\ROOT\Appv
26,"__InstanceProviderRegistration
",\ROOT\Appv
27,"__IntervalTimerInstruction
",\ROOT\Appv
28,"__MethodInvocationEvent
",\ROOT\Appv
29,"__MethodProviderRegistration
",\ROOT\Appv
30,"__NAMESPACE
",\ROOT\Appv
31,"__NamespaceCreationEvent
",\ROOT\Appv
32,"__NamespaceDeletionEvent
",\ROOT\Appv
33,"__NamespaceModificationEvent
",\ROOT\Appv
34,"__NamespaceOperationEvent
",\ROOT\Appv
35,"__NotifyStatus
",\ROOT\Appv
36,"__NTLMUser9X
",\ROOT\Appv
37,"__ObjectProviderRegistration
",\ROOT\Appv
38,"__PARAMETERS
",\ROOT\Appv
39,"__PropertyProviderRegistration
",\ROOT\Appv
40,"__Provider
",\ROOT\Appv
41,"__ProviderRegistration
",\ROOT\Appv
42,"__QOSFailureEvent
",\ROOT\Appv
43,"__SecurityDescriptor
",\ROOT\Appv
44,"__SecurityRelatedClass
",\ROOT\Appv
45,"__SystemClass
",\ROOT\Appv
46,"__SystemEvent
",\ROOT\Appv
47,"__SystemSecurity
",\ROOT\Appv
48,"__thisNAMESPACE
",\ROOT\Appv
49,"__TimerEvent
",\ROOT\Appv
50,"__TimerInstruction
",\ROOT\Appv
51,"__TimerNextFiring
",\ROOT\Appv
52,"__Trustee
",\ROOT\Appv
53,"__Win32Provider
",\ROOT\Appv
54,"AppvClientApplication
",\ROOT\Appv
55,"AppvClientAsset
",\ROOT\Appv
56,"AppvClientConnectionGroup
",\ROOT\Appv
57,"AppvClientPackage
",\ROOT\Appv
58,"AppvPublishingServer
",\ROOT\Appv
59,"CIM_ClassCreation
",\ROOT\Appv
60,"CIM_ClassDeletion
",\ROOT\Appv
61,"CIM_ClassIndication
",\ROOT\Appv
62,"CIM_ClassModification
",\ROOT\Appv
63,"CIM_Error
",\ROOT\Appv
64,"CIM_Indication
",\ROOT\Appv
65,"CIM_InstCreation
",\ROOT\Appv
66,"CIM_InstDeletion
",\ROOT\Appv
67,"CIM_InstIndication
",\ROOT\Appv
68,"CIM_InstModification
",\ROOT\Appv
69,"MSFT_ExtendedStatus
",\ROOT\Appv
70,"MSFT_WmiError
",\ROOT\Appv
71,"WMI_extension
",\ROOT\Appv
72,"__AbsoluteTimerInstruction
",\ROOT\CIMV2
73,"__ACE
",\ROOT\CIMV2
74,"__AggregateEvent
",\ROOT\CIMV2
75,"__ClassCreationEvent
",\ROOT\CIMV2
76,"__ClassDeletionEvent
",\ROOT\CIMV2
77,"__ClassModificationEvent
",\ROOT\CIMV2
78,"__ClassOperationEvent
",\ROOT\CIMV2
79,"__ClassProviderRegistration
",\ROOT\CIMV2
80,"__ConsumerFailureEvent
",\ROOT\CIMV2
81,"__Event
",\ROOT\CIMV2
82,"__EventConsumer
",\ROOT\CIMV2
83,"__EventConsumerProviderRegistration
",\ROOT\CIMV2
84,"__EventDroppedEvent
",\ROOT\CIMV2
85,"__EventFilter
",\ROOT\CIMV2
86,"__EventGenerator
",\ROOT\CIMV2
87,"__EventProviderRegistration
",\ROOT\CIMV2
88,"__EventQueueOverflowEvent
",\ROOT\CIMV2
89,"__ExtendedStatus
",\ROOT\CIMV2
90,"__ExtrinsicEvent
",\ROOT\CIMV2
91,"__FilterToConsumerBinding
",\ROOT\CIMV2
92,"__IndicationRelated
",\ROOT\CIMV2
93,"__InstanceCreationEvent
",\ROOT\CIMV2
94,"__InstanceDeletionEvent
",\ROOT\CIMV2
95,"__InstanceModificationEvent
",\ROOT\CIMV2
96,"__InstanceOperationEvent
",\ROOT\CIMV2
97,"__InstanceProviderRegistration
",\ROOT\CIMV2
98,"__IntervalTimerInstruction
",\ROOT\CIMV2
99,"__MethodInvocationEvent
",\ROOT\CIMV2
100,"__MethodProviderRegistration
",\ROOT\CIMV2
101,"__NAMESPACE
",\ROOT\CIMV2
102,"__NamespaceCreationEvent
",\ROOT\CIMV2
103,"__NamespaceDeletionEvent
",\ROOT\CIMV2
104,"__NamespaceModificationEvent
",\ROOT\CIMV2
105,"__NamespaceOperationEvent
",\ROOT\CIMV2
106,"__NotifyStatus
",\ROOT\CIMV2
107,"__NTLMUser9X
",\ROOT\CIMV2
108,"__ObjectProviderRegistration
",\ROOT\CIMV2
109,"__PARAMETERS
",\ROOT\CIMV2
110,"__PropertyProviderRegistration
",\ROOT\CIMV2
111,"__Provider
",\ROOT\CIMV2
112,"__ProviderRegistration
",\ROOT\CIMV2
113,"__QOSFailureEvent
",\ROOT\CIMV2
114,"__SecurityDescriptor
",\ROOT\CIMV2
115,"__SecurityRelatedClass
",\ROOT\CIMV2
116,"__SystemClass
",\ROOT\CIMV2
117,"__SystemEvent
",\ROOT\CIMV2
118,"__SystemSecurity
",\ROOT\CIMV2
119,"__thisNAMESPACE
",\ROOT\CIMV2
120,"__TimerEvent
",\ROOT\CIMV2
121,"__TimerInstruction
",\ROOT\CIMV2
122,"__TimerNextFiring
",\ROOT\CIMV2
123,"__Trustee
",\ROOT\CIMV2
124,"__Win32Provider
",\ROOT\CIMV2
125,"CIM_Action
",\ROOT\CIMV2
126,"CIM_ActionSequence
",\ROOT\CIMV2
127,"CIM_ActsAsSpare
",\ROOT\CIMV2
128,"CIM_AdjacentSlots
",\ROOT\CIMV2
129,"CIM_AggregatePExtent
",\ROOT\CIMV2
130,"CIM_AggregatePSExtent
",\ROOT\CIMV2
131,"CIM_AggregateRedundancyComponent
",\ROOT\CIMV2
132,"CIM_AlarmDevice
",\ROOT\CIMV2
133,"CIM_AllocatedResource
",\ROOT\CIMV2
134,"CIM_ApplicationSystem
",\ROOT\CIMV2
135,"CIM_ApplicationSystemSoftwareFeature
",\ROOT\CIMV2
136,"CIM_AssociatedAlarm
",\ROOT\CIMV2
137,"CIM_AssociatedBattery
",\ROOT\CIMV2
138,"CIM_AssociatedCooling
",\ROOT\CIMV2
139,"CIM_AssociatedMemory
",\ROOT\CIMV2
140,"CIM_AssociatedProcessorMemory
",\ROOT\CIMV2
141,"CIM_AssociatedSensor
",\ROOT\CIMV2
142,"CIM_AssociatedSupplyCurrentSensor
",\ROOT\CIMV2
143,"CIM_AssociatedSupplyVoltageSensor
",\ROOT\CIMV2
144,"CIM_BasedOn
",\ROOT\CIMV2
145,"CIM_Battery
",\ROOT\CIMV2
146,"CIM_BinarySensor
",\ROOT\CIMV2
147,"CIM_BIOSElement
",\ROOT\CIMV2
148,"CIM_BIOSFeature
",\ROOT\CIMV2
149,"CIM_BIOSFeatureBIOSElements
",\ROOT\CIMV2
150,"CIM_BIOSLoadedInNV
",\ROOT\CIMV2
151,"CIM_BootOSFromFS
",\ROOT\CIMV2
152,"CIM_BootSAP
",\ROOT\CIMV2
153,"CIM_BootService
",\ROOT\CIMV2
154,"CIM_BootServiceAccessBySAP
",\ROOT\CIMV2
155,"CIM_CacheMemory
",\ROOT\CIMV2
156,"CIM_Card
",\ROOT\CIMV2
157,"CIM_CardInSlot
",\ROOT\CIMV2
158,"CIM_CardOnCard
",\ROOT\CIMV2
159,"CIM_CDROMDrive
",\ROOT\CIMV2
160,"CIM_Chassis
",\ROOT\CIMV2
161,"CIM_ChassisInRack
",\ROOT\CIMV2
162,"CIM_Check
",\ROOT\CIMV2
163,"CIM_Chip
",\ROOT\CIMV2
164,"CIM_ClassCreation
",\ROOT\CIMV2
165,"CIM_ClassDeletion
",\ROOT\CIMV2
166,"CIM_ClassIndication
",\ROOT\CIMV2
167,"CIM_ClassModification
",\ROOT\CIMV2
168,"CIM_ClusteringSAP
",\ROOT\CIMV2
169,"CIM_ClusteringService
",\ROOT\CIMV2
170,"CIM_ClusterServiceAccessBySAP
",\ROOT\CIMV2
171,"CIM_CollectedCollections
",\ROOT\CIMV2
172,"CIM_CollectedMSEs
",\ROOT\CIMV2
173,"CIM_CollectionOfMSEs
",\ROOT\CIMV2
174,"CIM_CollectionOfSensors
",\ROOT\CIMV2
175,"CIM_CollectionSetting
",\ROOT\CIMV2
176,"CIM_CompatibleProduct
",\ROOT\CIMV2
177,"CIM_Component
",\ROOT\CIMV2
178,"CIM_ComputerSystem
",\ROOT\CIMV2
179,"CIM_ComputerSystemDMA
",\ROOT\CIMV2
180,"CIM_ComputerSystemIRQ
",\ROOT\CIMV2
181,"CIM_ComputerSystemMappedIO
",\ROOT\CIMV2
182,"CIM_ComputerSystemPackage
",\ROOT\CIMV2
183,"CIM_ComputerSystemResource
",\ROOT\CIMV2
184,"CIM_Configuration
",\ROOT\CIMV2
185,"CIM_ConnectedTo
",\ROOT\CIMV2
186,"CIM_ConnectorOnPackage
",\ROOT\CIMV2
187,"CIM_Container
",\ROOT\CIMV2
188,"CIM_ControlledBy
",\ROOT\CIMV2
189,"CIM_Controller
",\ROOT\CIMV2
190,"CIM_CoolingDevice
",\ROOT\CIMV2
191,"CIM_CopyFileAction
",\ROOT\CIMV2
192,"CIM_CreateDirectoryAction
",\ROOT\CIMV2
193,"CIM_CurrentSensor
",\ROOT\CIMV2
194,"CIM_DataFile
",\ROOT\CIMV2
195,"CIM_Dependency
",\ROOT\CIMV2
196,"CIM_DependencyContext
",\ROOT\CIMV2
197,"CIM_DesktopMonitor
",\ROOT\CIMV2
198,"CIM_DeviceAccessedByFile
",\ROOT\CIMV2
199,"CIM_DeviceConnection
",\ROOT\CIMV2
200,"CIM_DeviceErrorCounts
",\ROOT\CIMV2
201,"CIM_DeviceFile
",\ROOT\CIMV2
202,"CIM_DeviceSAPImplementation
",\ROOT\CIMV2
203,"CIM_DeviceServiceImplementation
",\ROOT\CIMV2
204,"CIM_DeviceSoftware
",\ROOT\CIMV2
205,"CIM_Directory
",\ROOT\CIMV2
206,"CIM_DirectoryAction
",\ROOT\CIMV2
207,"CIM_DirectoryContainsFile
",\ROOT\CIMV2
208,"CIM_DirectorySpecification
",\ROOT\CIMV2
209,"CIM_DirectorySpecificationFile
",\ROOT\CIMV2
210,"CIM_DiscreteSensor
",\ROOT\CIMV2
211,"CIM_DiskDrive
",\ROOT\CIMV2
212,"CIM_DisketteDrive
",\ROOT\CIMV2
213,"CIM_DiskPartition
",\ROOT\CIMV2
214,"CIM_DiskSpaceCheck
",\ROOT\CIMV2
215,"CIM_Display
",\ROOT\CIMV2
216,"CIM_DMA
",\ROOT\CIMV2
217,"CIM_Docked
",\ROOT\CIMV2
218,"CIM_ElementCapacity
",\ROOT\CIMV2
219,"CIM_ElementConfiguration
",\ROOT\CIMV2
220,"CIM_ElementSetting
",\ROOT\CIMV2
221,"CIM_ElementsLinked
",\ROOT\CIMV2
222,"CIM_Error
",\ROOT\CIMV2
223,"CIM_ErrorCountersForDevice
",\ROOT\CIMV2
224,"CIM_ExecuteProgram
",\ROOT\CIMV2
225,"CIM_Export
",\ROOT\CIMV2
226,"CIM_ExtraCapacityGroup
",\ROOT\CIMV2
227,"CIM_Fan
",\ROOT\CIMV2
228,"CIM_FileAction
",\ROOT\CIMV2
229,"CIM_FileSpecification
",\ROOT\CIMV2
230,"CIM_FileStorage
",\ROOT\CIMV2
231,"CIM_FileSystem
",\ROOT\CIMV2
232,"CIM_FlatPanel
",\ROOT\CIMV2
233,"CIM_FromDirectoryAction
",\ROOT\CIMV2
234,"CIM_FromDirectorySpecification
",\ROOT\CIMV2
235,"CIM_FRU
",\ROOT\CIMV2
236,"CIM_FRUIncludesProduct
",\ROOT\CIMV2
237,"CIM_FRUPhysicalElements
",\ROOT\CIMV2
238,"CIM_HeatPipe
",\ROOT\CIMV2
239,"CIM_HostedAccessPoint
",\ROOT\CIMV2
240,"CIM_HostedBootSAP
",\ROOT\CIMV2
241,"CIM_HostedBootService
",\ROOT\CIMV2
242,"CIM_HostedFileSystem
",\ROOT\CIMV2
243,"CIM_HostedJobDestination
",\ROOT\CIMV2
244,"CIM_HostedService
",\ROOT\CIMV2
245,"CIM_Indication
",\ROOT\CIMV2
246,"CIM_InfraredController
",\ROOT\CIMV2
247,"CIM_InstalledOS
",\ROOT\CIMV2
248,"CIM_InstalledSoftwareElement
",\ROOT\CIMV2
249,"CIM_InstCreation
",\ROOT\CIMV2
250,"CIM_InstDeletion
",\ROOT\CIMV2
251,"CIM_InstIndication
",\ROOT\CIMV2
252,"CIM_InstModification
",\ROOT\CIMV2
253,"CIM_IRQ
",\ROOT\CIMV2
254,"CIM_Job
",\ROOT\CIMV2
255,"CIM_JobDestination
",\ROOT\CIMV2
256,"CIM_JobDestinationJobs
",\ROOT\CIMV2
257,"CIM_Keyboard
",\ROOT\CIMV2
258,"CIM_LinkHasConnector
",\ROOT\CIMV2
259,"CIM_LocalFileSystem
",\ROOT\CIMV2
260,"CIM_Location
",\ROOT\CIMV2
261,"CIM_LogicalDevice
",\ROOT\CIMV2
262,"CIM_LogicalDisk
",\ROOT\CIMV2
263,"CIM_LogicalDiskBasedOnPartition
",\ROOT\CIMV2
264,"CIM_LogicalDiskBasedOnVolumeSet
",\ROOT\CIMV2
265,"CIM_LogicalElement
",\ROOT\CIMV2
266,"CIM_LogicalFile
",\ROOT\CIMV2
267,"CIM_LogicalIdentity
",\ROOT\CIMV2
268,"CIM_MagnetoOpticalDrive
",\ROOT\CIMV2
269,"CIM_ManagedElement
",\ROOT\CIMV2
270,"CIM_ManagedSystemElement
",\ROOT\CIMV2
271,"CIM_ManagementController
",\ROOT\CIMV2
272,"CIM_MediaAccessDevice
",\ROOT\CIMV2
273,"CIM_MediaPresent
",\ROOT\CIMV2
274,"CIM_Memory
",\ROOT\CIMV2
275,"CIM_MemoryCapacity
",\ROOT\CIMV2
276,"CIM_MemoryCheck
",\ROOT\CIMV2
277,"CIM_MemoryMappedIO
",\ROOT\CIMV2
278,"CIM_MemoryOnCard
",\ROOT\CIMV2
279,"CIM_MemoryWithMedia
",\ROOT\CIMV2
280,"CIM_ModifySettingAction
",\ROOT\CIMV2
281,"CIM_MonitorResolution
",\ROOT\CIMV2
282,"CIM_MonitorSetting
",\ROOT\CIMV2
283,"CIM_Mount
",\ROOT\CIMV2
284,"CIM_MultiStateSensor
",\ROOT\CIMV2
285,"CIM_NetworkAdapter
",\ROOT\CIMV2
286,"CIM_NFS
",\ROOT\CIMV2
287,"CIM_NonVolatileStorage
",\ROOT\CIMV2
288,"CIM_NumericSensor
",\ROOT\CIMV2
289,"CIM_OperatingSystem
",\ROOT\CIMV2
290,"CIM_OperatingSystemSoftwareFeature
",\ROOT\CIMV2
291,"CIM_OSProcess
",\ROOT\CIMV2
292,"CIM_OSVersionCheck
",\ROOT\CIMV2
293,"CIM_PackageAlarm
",\ROOT\CIMV2
294,"CIM_PackageCooling
",\ROOT\CIMV2
295,"CIM_PackagedComponent
",\ROOT\CIMV2
296,"CIM_PackageInChassis
",\ROOT\CIMV2
297,"CIM_PackageInSlot
",\ROOT\CIMV2
298,"CIM_PackageTempSensor
",\ROOT\CIMV2
299,"CIM_ParallelController
",\ROOT\CIMV2
300,"CIM_ParticipatesInSet
",\ROOT\CIMV2
301,"CIM_PCIController
",\ROOT\CIMV2
302,"CIM_PCMCIAController
",\ROOT\CIMV2
303,"CIM_PCVideoController
",\ROOT\CIMV2
304,"CIM_PExtentRedundancyComponent
",\ROOT\CIMV2
305,"CIM_PhysicalCapacity
",\ROOT\CIMV2
306,"CIM_PhysicalComponent
",\ROOT\CIMV2
307,"CIM_PhysicalConnector
",\ROOT\CIMV2
308,"CIM_PhysicalElement
",\ROOT\CIMV2
309,"CIM_PhysicalElementLocation
",\ROOT\CIMV2
310,"CIM_PhysicalExtent
",\ROOT\CIMV2
311,"CIM_PhysicalFrame
",\ROOT\CIMV2
312,"CIM_PhysicalLink
",\ROOT\CIMV2
313,"CIM_PhysicalMedia
",\ROOT\CIMV2
314,"CIM_PhysicalMemory
",\ROOT\CIMV2
315,"CIM_PhysicalPackage
",\ROOT\CIMV2
316,"CIM_PointingDevice
",\ROOT\CIMV2
317,"CIM_PotsModem
",\ROOT\CIMV2
318,"CIM_PowerSupply
",\ROOT\CIMV2
319,"CIM_Printer
",\ROOT\CIMV2
320,"CIM_Process
",\ROOT\CIMV2
321,"CIM_ProcessExecutable
",\ROOT\CIMV2
322,"CIM_Processor
",\ROOT\CIMV2
323,"CIM_ProcessThread
",\ROOT\CIMV2
324,"CIM_Product
",\ROOT\CIMV2
325,"CIM_ProductFRU
",\ROOT\CIMV2
326,"CIM_ProductParentChild
",\ROOT\CIMV2
327,"CIM_ProductPhysicalElements
",\ROOT\CIMV2
328,"CIM_ProductProductDependency
",\ROOT\CIMV2
329,"CIM_ProductSoftwareFeatures
",\ROOT\CIMV2
330,"CIM_ProductSupport
",\ROOT\CIMV2
331,"CIM_ProtectedSpaceExtent
",\ROOT\CIMV2
332,"CIM_PSExtentBasedOnPExtent
",\ROOT\CIMV2
333,"CIM_Rack
",\ROOT\CIMV2
334,"CIM_Realizes
",\ROOT\CIMV2
335,"CIM_RealizesAggregatePExtent
",\ROOT\CIMV2
336,"CIM_RealizesDiskPartition
",\ROOT\CIMV2
337,"CIM_RealizesPExtent
",\ROOT\CIMV2
338,"CIM_RebootAction
",\ROOT\CIMV2
339,"CIM_RedundancyComponent
",\ROOT\CIMV2
340,"CIM_RedundancyGroup
",\ROOT\CIMV2
341,"CIM_Refrigeration
",\ROOT\CIMV2
342,"CIM_RelatedStatistics
",\ROOT\CIMV2
343,"CIM_RemoteFileSystem
",\ROOT\CIMV2
344,"CIM_RemoveDirectoryAction
",\ROOT\CIMV2
345,"CIM_RemoveFileAction
",\ROOT\CIMV2
346,"CIM_ReplacementSet
",\ROOT\CIMV2
347,"CIM_ResidesOnExtent
",\ROOT\CIMV2
348,"CIM_RunningOS
",\ROOT\CIMV2
349,"CIM_SAPSAPDependency
",\ROOT\CIMV2
350,"CIM_Scanner
",\ROOT\CIMV2
351,"CIM_SCSIController
",\ROOT\CIMV2
352,"CIM_SCSIInterface
",\ROOT\CIMV2
353,"CIM_Sensor
",\ROOT\CIMV2
354,"CIM_SerialController
",\ROOT\CIMV2
355,"CIM_SerialInterface
",\ROOT\CIMV2
356,"CIM_Service
",\ROOT\CIMV2
357,"CIM_ServiceAccessBySAP
",\ROOT\CIMV2
358,"CIM_ServiceAccessPoint
",\ROOT\CIMV2
359,"CIM_ServiceSAPDependency
",\ROOT\CIMV2
360,"CIM_ServiceServiceDependency
",\ROOT\CIMV2
361,"CIM_Setting
",\ROOT\CIMV2
362,"CIM_SettingCheck
",\ROOT\CIMV2
363,"CIM_SettingContext
",\ROOT\CIMV2
364,"CIM_Slot
",\ROOT\CIMV2
365,"CIM_SlotInSlot
",\ROOT\CIMV2
366,"CIM_SoftwareElement
",\ROOT\CIMV2
367,"CIM_SoftwareElementActions
",\ROOT\CIMV2
368,"CIM_SoftwareElementChecks
",\ROOT\CIMV2
369,"CIM_SoftwareElementVersionCheck
",\ROOT\CIMV2
370,"CIM_SoftwareFeature
",\ROOT\CIMV2
371,"CIM_SoftwareFeatureSAPImplementation
",\ROOT\CIMV2
372,"CIM_SoftwareFeatureServiceImplementation
",\ROOT\CIMV2
373,"CIM_SoftwareFeatureSoftwareElements
",\ROOT\CIMV2
374,"CIM_SpareGroup
",\ROOT\CIMV2
375,"CIM_StatisticalInformation
",\ROOT\CIMV2
376,"CIM_Statistics
",\ROOT\CIMV2
377,"CIM_StorageDefect
",\ROOT\CIMV2
378,"CIM_StorageError
",\ROOT\CIMV2
379,"CIM_StorageExtent
",\ROOT\CIMV2
380,"CIM_StorageRedundancyGroup
",\ROOT\CIMV2
381,"CIM_StorageVolume
",\ROOT\CIMV2
382,"CIM_SupportAccess
",\ROOT\CIMV2
383,"CIM_SwapSpaceCheck
",\ROOT\CIMV2
384,"CIM_System
",\ROOT\CIMV2
385,"CIM_SystemComponent
",\ROOT\CIMV2
386,"CIM_SystemDevice
",\ROOT\CIMV2
387,"CIM_SystemResource
",\ROOT\CIMV2
388,"CIM_Tachometer
",\ROOT\CIMV2
389,"CIM_TapeDrive
",\ROOT\CIMV2
390,"CIM_TemperatureSensor
",\ROOT\CIMV2
391,"CIM_Thread
",\ROOT\CIMV2
392,"CIM_ToDirectoryAction
",\ROOT\CIMV2
393,"CIM_ToDirectorySpecification
",\ROOT\CIMV2
394,"CIM_UninterruptiblePowerSupply
",\ROOT\CIMV2
395,"CIM_UnitaryComputerSystem
",\ROOT\CIMV2
396,"CIM_USBController
",\ROOT\CIMV2
397,"CIM_USBControllerHasHub
",\ROOT\CIMV2
398,"CIM_USBDevice
",\ROOT\CIMV2
399,"CIM_USBHub
",\ROOT\CIMV2
400,"CIM_UserDevice
",\ROOT\CIMV2
401,"CIM_VersionCompatibilityCheck
",\ROOT\CIMV2
402,"CIM_VideoBIOSElement
",\ROOT\CIMV2
403,"CIM_VideoBIOSFeature
",\ROOT\CIMV2
404,"CIM_VideoBIOSFeatureVideoBIOSElements
",\ROOT\CIMV2
405,"CIM_VideoController
",\ROOT\CIMV2
406,"CIM_VideoControllerResolution
",\ROOT\CIMV2
407,"CIM_VideoSetting
",\ROOT\CIMV2
408,"CIM_VolatileStorage
",\ROOT\CIMV2
409,"CIM_VoltageSensor
",\ROOT\CIMV2
410,"CIM_VolumeSet
",\ROOT\CIMV2
411,"CIM_WORMDrive
",\ROOT\CIMV2
412,"MSFT_ExtendedStatus
",\ROOT\CIMV2
413,"MSFT_NCProvAccessCheck
",\ROOT\CIMV2
414,"MSFT_NCProvCancelQuery
",\ROOT\CIMV2
415,"MSFT_NCProvClientConnected
",\ROOT\CIMV2
416,"MSFT_NCProvEvent
",\ROOT\CIMV2
417,"MSFT_NCProvNewQuery
",\ROOT\CIMV2
418,"MSFT_NetBadAccount
",\ROOT\CIMV2
419,"MSFT_NetBadServiceState
",\ROOT\CIMV2
420,"MSFT_NetBootSystemDriversFailed
",\ROOT\CIMV2
421,"MSFT_NetCallToFunctionFailed
",\ROOT\CIMV2
422,"MSFT_NetCallToFunctionFailedII
",\ROOT\CIMV2
423,"MSFT_NetCircularDependencyAuto
",\ROOT\CIMV2
424,"MSFT_NetCircularDependencyDemand
",\ROOT\CIMV2
425,"MSFT_NetConnectionTimeout
",\ROOT\CIMV2
426,"MSFT_NetDependOnLaterGroup
",\ROOT\CIMV2
427,"MSFT_NetDependOnLaterService
",\ROOT\CIMV2
428,"MSFT_NetFirstLogonFailed
",\ROOT\CIMV2
429,"MSFT_NetFirstLogonFailedII
",\ROOT\CIMV2
430,"MSFT_NetReadfileTimeout
",\ROOT\CIMV2
431,"MSFT_NetRevertedToLastKnownGood
",\ROOT\CIMV2
432,"MSFT_NetServiceConfigBackoutFailed
",\ROOT\CIMV2
433,"MSFT_NetServiceControlSuccess
",\ROOT\CIMV2
434,"MSFT_NetServiceCrash
",\ROOT\CIMV2
435,"MSFT_NetServiceCrashNoAction
",\ROOT\CIMV2
436,"MSFT_NetServiceDifferentPIDConnected
",\ROOT\CIMV2
437,"MSFT_NetServiceExitFailed
",\ROOT\CIMV2
438,"MSFT_NetServiceExitFailedSpecific
",\ROOT\CIMV2
439,"MSFT_NetServiceLogonTypeNotGranted
",\ROOT\CIMV2
440,"MSFT_NetServiceNotInteractive
",\ROOT\CIMV2
441,"MSFT_NetServiceRecoveryFailed
",\ROOT\CIMV2
442,"MSFT_NetServiceShutdownFailed
",\ROOT\CIMV2
443,"MSFT_NetServiceSlowStartup
",\ROOT\CIMV2
444,"MSFT_NetServiceStartFailed
",\ROOT\CIMV2
445,"MSFT_NetServiceStartFailedGroup
",\ROOT\CIMV2
446,"MSFT_NetServiceStartFailedII
",\ROOT\CIMV2
447,"MSFT_NetServiceStartFailedNone
",\ROOT\CIMV2
448,"MSFT_NetServiceStartHung
",\ROOT\CIMV2
449,"MSFT_NetServiceStartTypeChanged
",\ROOT\CIMV2
450,"MSFT_NetServiceStatusSuccess
",\ROOT\CIMV2
451,"MSFT_NetServiceStopControlSuccess
",\ROOT\CIMV2
452,"MSFT_NetSevereServiceFailed
",\ROOT\CIMV2
453,"MSFT_NetTakeOwnership
",\ROOT\CIMV2
454,"MSFT_NetTransactInvalid
",\ROOT\CIMV2
455,"MSFT_NetTransactTimeout
",\ROOT\CIMV2
456,"Msft_Providers
",\ROOT\CIMV2
457,"MSFT_SCMEvent
",\ROOT\CIMV2
458,"MSFT_SCMEventLogEvent
",\ROOT\CIMV2
459,"MSFT_VSInstance
",\ROOT\CIMV2
460,"MSFT_WMI_GenericNonCOMEvent
",\ROOT\CIMV2
461,"MSFT_WmiCancelNotificationSink
",\ROOT\CIMV2
462,"MSFT_WmiConsumerProviderEvent
",\ROOT\CIMV2
463,"MSFT_WmiConsumerProviderLoaded
",\ROOT\CIMV2
464,"MSFT_WmiConsumerProviderSinkLoaded
",\ROOT\CIMV2
465,"MSFT_WmiConsumerProviderSinkUnloaded
",\ROOT\CIMV2
466,"MSFT_WmiConsumerProviderUnloaded
",\ROOT\CIMV2
467,"MSFT_WmiError
",\ROOT\CIMV2
468,"MSFT_WmiEssEvent
",\ROOT\CIMV2
469,"MSFT_WmiFilterActivated
",\ROOT\CIMV2
470,"MSFT_WmiFilterDeactivated
",\ROOT\CIMV2
471,"MSFT_WmiFilterEvent
",\ROOT\CIMV2
472,"Msft_WmiProvider_AccessCheck_Post
",\ROOT\CIMV2
473,"Msft_WmiProvider_AccessCheck_Pre
",\ROOT\CIMV2
474,"Msft_WmiProvider_CancelQuery_Post
",\ROOT\CIMV2
475,"Msft_WmiProvider_CancelQuery_Pre
",\ROOT\CIMV2
476,"Msft_WmiProvider_ComServerLoadOperationEvent
",\ROOT\CIMV2
477,"Msft_WmiProvider_ComServerLoadOperationFailureEvent
",\ROOT\CIMV2
478,"Msft_WmiProvider_Counters
",\ROOT\CIMV2
479,"Msft_WmiProvider_CreateClassEnumAsyncEvent_Post
",\ROOT\CIMV2
480,"Msft_WmiProvider_CreateClassEnumAsyncEvent_Pre
",\ROOT\CIMV2
481,"Msft_WmiProvider_CreateInstanceEnumAsyncEvent_Post
",\ROOT\CIMV2
482,"Msft_WmiProvider_CreateInstanceEnumAsyncEvent_Pre
",\ROOT\CIMV2
483,"Msft_WmiProvider_DeleteClassAsyncEvent_Post
",\ROOT\CIMV2
484,"Msft_WmiProvider_DeleteClassAsyncEvent_Pre
",\ROOT\CIMV2
485,"Msft_WmiProvider_DeleteInstanceAsyncEvent_Post
",\ROOT\CIMV2
486,"Msft_WmiProvider_DeleteInstanceAsyncEvent_Pre
",\ROOT\CIMV2
487,"Msft_WmiProvider_ExecMethodAsyncEvent_Post
",\ROOT\CIMV2
488,"Msft_WmiProvider_ExecMethodAsyncEvent_Pre
",\ROOT\CIMV2
